 idtp | idspec |    idspcion    |                                                       namespcion                                                       | idotdel | base | yearentrance | srok | month1 |                                                 tpnote                                                  
  788 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2004 |  5.5 |        | (филиал в г. Кинешме)
 1046 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    1 |         2007 |    4 |        | (филиал в г.Вязьме)
  701 |      6 | 07             | Производственный менеджмент                                                                                            |       1 |    2 |         2002 |    5 |        | (филиал в г.Вязьме)
  702 |      6 |                | Корпоративные информационные системы                                                                                   |       2 |    2 |         2007 |  5.5 |        | 
  703 |     13 | 08             | Управление финансами на предприятии                                                                                    |       1 |    2 |         2002 |    5 |        | (филиал в г.Рославле)
  704 |      6 | 07             | Производственный менеджмент                                                                                            |       1 |    0 |         2001 |    5 |        | (филиал в г.Рославле)
  997 |     78 | 08             | Управление финансами на предприятии                                                                                    |       2 |   18 |         2008 |  3.5 |        | (филиал в городе Киров)
  604 |     11 | 02             | Гражданско-правовая                                                                                                    |       2 |    6 |         2007 |    4 |        | 
  605 |     11 | 02             | Гражданско-правовая                                                                                                    |       2 |    1 |         2007 |  4.5 |        | 
  617 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    2 |         2007 |  5.5 |        | 
  619 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    1 |         2007 |    4 |        | 
  630 |     25 | 11             | Ремонт транспортных средств методами сварки, пайки, наплавки и напыления                                               |       2 |    2 |         2007 |  5.5 |        | 
  635 |     58 |                |                                                                                                                        |       2 |    1 |         2007 |    4 |        | 
  640 |      6 | 07             | Производственный менеджмент                                                                                            |       2 |    1 |         2002 |    4 |        | (филиал г. Вязьма)
  651 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    1 |         2004 |    4 |        | (филиал в городе Киров)
  653 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    1 |         2002 |    4 |        | (филиал в городе Киров)
  654 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    2 |         2004 |  5.5 |        | (филиал в городе Киров)
 1042 |      6 |                | Корпоративные информационные системы                                                                                   |       2 |    1 |         2007 |    4 |        | (филиал в г.Вязьме)
  399 |     10 | 11             | Производственный менеджмент                                                                                            |       3 |    0 |         2006 |  5.5 |        | 
 1026 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    2 |         2007 |  5.5 |        | (филиал в г.Вязьме)
  450 |     13 | 01             | Организация производства                                                                                               |       3 |    0 |         2004 |    6 |        | Второе высшее для направлений 651200, 651400, 651700, 653200, 657800
  335 |     52 | 05             | Финансовый менеджмент                                                                                                  |       2 |   14 |         2007 |    4 |        | 
  916 |     19 | 120000(120103) | Общая технология авторемонтного производства                                                                           |       2 |    1 |         2010 |    4 |        | 
  837 |      6 |                | Корпоративные информационные системы                                                                                   |       1 |    0 |         2009 |    5 |        | (филиал в г. Рославле)
  814 |     17 | 15             | Безопасность автомобиля                                                                                                |       2 |    2 |         2009 |  5.5 |        | (филиал в городе Киров)
  694 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2007 |    5 |        | (филиал в г. Кинешме)
  628 |     11 | 02             | Гражданско-правовая                                                                                                    |       2 |    2 |         2002 |  5.5 |        | (филиал в г. Сергиев Посад)
  841 |     81 | 38             | Механика многофазовых систем                                                                                           |       1 |    0 |         2009 |    5 |        | (филиал в г. Сергиев Посад МО)
 1023 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    2 |         2007 |  5.5 |        | (филиал в г.Вязьме)
  643 |     13 | 01             | Организация производства                                                                                               |       2 |    2 |         2002 |  5.5 |        | (филиал в г. Сергиев Посад)
